parameter	renewable_signal(interval)	/
1027	0.00610027	
1028	0.00637755	
1029	0.00665484	
1030	0.00693212	
1031	0.00720941	
1032	0.00748669	
1033	0.0055457	
1034	0.00576752	
1035	0.00598935	
1036	0.00621118	
1037	0.00643301	
1038	0.00665484	
1039	0.00687666	
1040	0.00709849	
1041	0.00732032	
1042	0.00754215	
1043	0.00776398	
1044	0.0079858	
1045	0.00643301	
1046	0.00587844	
1047	0.00532387	
1048	0.0047693	
1049	0.00421473	
1050	0.00366016	
1051	0.00310559	
1052	0.00255102	
1053	0.00199645	
1054	0.00144188	
1055	0.000887311	
1056	0.000332742	
1057	0.00421473	
1058	0.00432564	
1059	0.00443656	
1060	0.00454747	
1061	0.00465839	
1062	0.0047693	
1063	0.00488021	
1064	0.00499113	
1065	0.00510204	
1066	0.00521295	
1067	0.00532387	
1068	0.00543478	
1069	0.00465839	
1070	0.00454747	
1071	0.00443656	
1072	0.00432564	
1073	0.00421473	
1074	0.00410382	
1075	0.0039929	
1076	0.00388199	
1077	0.00377107	
1078	0.00366016	
1079	0.00354925	
1080	0.00343833	
1081	0.00421473	
1082	0.00465839	
1083	0.00510204	
1084	0.0055457	
1085	0.00598935	
1086	0.00643301	
1087	0.00687666	
1088	0.00732032	
1089	0.00776398	
1090	0.00820763	
1091	0.00865129	
1092	0.00909494	
1093	0.00598935	
1094	0.00648846	
1095	0.00698758	
1096	0.00748669	
1097	0.0079858	
1098	0.00848492	
1099	0.00898403	
1100	0.00948314	
1101	0.00998225	
1102	0.0104814	
1103	0.0109805	
1104	0.0114796	
1105	0.0079858	
1106	0.008374	
1107	0.0087622	
1108	0.0091504	
1109	0.0095386	
1110	0.0099268	
1111	0.010315	
1112	0.0107032	
1113	0.0110914	
1114	0.0114796	
1115	0.0118678	
1116	0.012256	
1117	0.0095386	
1118	0.0113687	
1119	0.0131988	
1120	0.0150288	
1121	0.0168589	
1122	0.018689	
1123	0.0205191	
1124	0.0223492	
1125	0.0241792	
1126	0.0260093	
1127	0.0278394	
1128	0.0296695	
1129	0.0168589	
1130	0.0179126	
1131	0.0189663	
1132	0.02002	
1133	0.0210736	
1134	0.0221273	
1135	0.023181	
1136	0.0242347	
1137	0.0252884	
1138	0.0263421	
1139	0.0273957	
1140	0.0284494	
1141	0.0210736	
1142	0.0187999	
1143	0.0165262	
1144	0.0142524	
1145	0.0119787	
1146	0.00970497	
1147	0.00743123	
1148	0.0051575	
1149	0.00288376	
1150	0.000610027	
1151	-0.00166371	
1152	-0.00393744	
1153	0.0119787	
1154	0.0139197	
1155	0.0158607	
1156	0.0178017	
1157	0.0197427	
1158	0.0216837	
