Run on a MSNT machine on 06/30/18 23:43:03.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),       200.00
Renewable Penetration for Input (%),         0.38
hydrogen use,         1.00

actual operating profit, -63617011.02
total electricity input (MWh),    788406.31
total electricity output (MWh),         0.00
output to input ratio,         0.00
input capacity factor,         0.90
output capacity factor,         0.00
average regup (MW),         0.00
average regdn (MW),         0.00
average spinres (MW),         0.00
average nonspinres (MW),         0.00
number of input power system starts,      8760.00
number of output power system starts,      8760.00
arbitrage revenue ($),-41946930.33
regup revenue ($),         0.00
regdn revenue ($),         0.00
spinres revenue ($),         0.00
nonspinres revenue ($),         0.00
hydrogen revenue ($),  43558359.48
REC revenue ($),   1495208.34
LCFS revenue ($),  27367395.04
startup costs ($),         0.00

Interval, In Pwr (MW), Out Pwr (MW), Storage Lvl (MW-h), In Reg Up (MW), Out Reg Up (MW), In Reg Dn (MW), Out Reg Dn (MW), In Spin (MW), Out Spin (MW), In Nonspin (MW), Out Nonspin (MW), H2 Out (kg), Non-Ren In (MW), Ren In (MW), Ren Sold (MW), Curt (MW)
       66.00,       86.13,        0.00,      464.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       67.00,       86.13,        0.00,      461.71,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       68.00,       86.13,        0.00,      459.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       69.00,       86.13,        0.00,      456.96,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       70.00,       86.13,        0.00,      454.59,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       71.00,       86.13,        0.00,      452.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       72.00,       86.13,        0.00,      449.84,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       73.00,       86.13,        0.00,      447.47,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       74.00,       86.13,        0.00,      445.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       75.00,       86.13,        0.00,      442.72,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       76.00,       86.13,        0.00,      440.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       77.00,       86.13,        0.00,      437.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       78.00,       86.13,        0.00,      435.59,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       79.00,       86.13,        0.00,      433.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       80.00,       86.13,        0.00,      430.84,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       81.00,      100.00,        0.00,      436.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       76.76,       23.24,        0.00,        0.00
       82.00,      100.00,        0.00,      443.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       52.14,       47.86,        0.00,        0.00
       83.00,      100.00,        0.00,      449.25,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       46.32,       53.68,        0.00,        0.00
       84.00,      100.00,        0.00,      455.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       84.91,       15.09,        0.00,        0.00
       85.00,      100.00,        0.00,      461.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       68.47,       31.53,        0.00,        0.00
       86.00,       99.41,        0.00,      467.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,       13.28,        0.00,        0.00
       87.00,       99.49,        0.00,      473.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,       13.36,        0.00,        0.00
       88.00,       93.42,        0.00,      475.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        7.28,        0.00,        0.00
       89.00,       86.83,        0.00,      473.27,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.70,        0.00,        0.00
       90.00,       86.13,        0.00,      470.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       91.00,       86.13,        0.00,      468.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       92.00,       86.13,        0.00,      466.14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
       93.00,       86.13,        0.00,      463.77,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1657.47,       86.13,        0.00,        0.00,        0.00
